Date,Discharge
2018-01-01,165
2018-01-02,163
2018-01-03,164
2018-01-04,164
2018-01-05,165
2018-01-06,164
2018-01-07,164
2018-01-08,164
2018-01-09,164
2018-01-10,164
2018-01-11,164
2018-01-12,164
2018-01-13,164
2018-01-14,163
2018-01-15,163
2018-01-16,162
2018-01-17,165
2018-01-18,165
2018-01-19,166
2018-01-20,166
2018-01-21,166
2018-01-22,166
2018-01-23,166
2018-01-24,166
2018-01-25,166
2018-01-26,167
2018-01-27,167
2018-01-28,168
2018-01-29,167
2018-01-30,167
2018-01-31,167
2018-02-01,167
2018-02-02,167
2018-02-03,168
2018-02-04,168
2018-02-05,167
2018-02-06,166
2018-02-07,166
2018-02-08,167
2018-02-09,167
2018-02-10,166
2018-02-11,166
2018-02-12,165
2018-02-13,165
2018-02-14,165
2018-02-15,164
2018-02-16,164
2018-02-17,164
2018-02-18,165
2018-02-19,164
2018-02-20,163
2018-02-21,162
2018-02-22,162
2018-02-23,162
2018-02-24,162
2018-02-25,162
2018-02-26,161
2018-02-27,160
2018-02-28,159
2018-03-01,158
2018-03-02,158
2018-03-03,158
2018-03-04,159
2018-03-05,159
2018-03-06,158
2018-03-07,158
2018-03-08,158
2018-03-09,157
2018-03-10,157
2018-03-11,156
2018-03-12,156
2018-03-13,156
2018-03-14,155
2018-03-15,155
2018-03-16,154
2018-03-17,154
2018-03-18,154
2018-03-19,153
2018-03-20,152
2018-03-21,151
2018-03-22,151
2018-03-23,152
2018-03-24,152
2018-03-25,153
2018-03-26,152
2018-03-27,153
2018-03-28,167
2018-03-29,170
2018-03-30,177
2018-03-31,184
2018-04-01,191
2018-04-02,191
2018-04-03,192
2018-04-04,192
2018-04-05,192
2018-04-06,192
2018-04-07,191
2018-04-08,190
2018-04-09,189
2018-04-10,188
2018-04-11,187
2018-04-12,186
2018-04-13,184
2018-04-14,182
2018-04-15,181
2018-04-16,180
2018-04-17,178
2018-04-18,177
2018-04-19,177
2018-04-20,177
2018-04-21,177
2018-04-22,176
2018-04-23,176
2018-04-24,175
2018-04-25,175
2018-04-26,175
2018-04-27,174
2018-04-28,174
2018-04-29,173
2018-04-30,172
2018-05-01,172
2018-05-02,172
2018-05-03,171
2018-05-04,174
2018-05-05,178
2018-05-06,181
2018-05-07,182
2018-05-08,184
2018-05-09,182
2018-05-10,181
2018-05-11,182
2018-05-12,182
2018-05-13,180
2018-05-14,179
2018-05-15,178
2018-05-16,178
2018-05-17,179
2018-05-18,179
2018-05-19,178
2018-05-20,178
2018-05-21,177
2018-05-22,176
2018-05-23,176
2018-05-24,175
2018-05-25,172
2018-05-26,170
2018-05-27,167
2018-05-28,165
2018-05-29,161
2018-05-30,159
2018-05-31,157
2018-06-01,155
2018-06-02,154
2018-06-03,152
2018-06-04,150
2018-06-05,149
2018-06-06,147
2018-06-07,145
2018-06-08,144
2018-06-09,143
2018-06-10,141
2018-06-11,138
2018-06-12,136
2018-06-13,134
2018-06-14,135
2018-06-15,137
2018-06-16,139
2018-06-17,139
2018-06-18,141
2018-06-19,141
2018-06-20,141
2018-06-21,141
2018-06-22,142
2018-06-23,144
2018-06-24,146
2018-06-25,146
2018-06-26,146
2018-06-27,146
2018-06-28,146
2018-06-29,145
2018-06-30,144
2018-07-01,144
2018-07-02,142
2018-07-03,141
2018-07-04,141
2018-07-05,140
2018-07-06,140
2018-07-07,139
2018-07-08,138
2018-07-09,144
2018-07-10,150
2018-07-11,155
2018-07-12,162
2018-07-13,162
2018-07-14,161
2018-07-15,161
2018-07-16,159
2018-07-17,157
2018-07-18,155
2018-07-19,154
2018-07-20,153
2018-07-21,152
2018-07-22,150
2018-07-23,149
2018-07-24,147
2018-07-25,146
2018-07-26,146
2018-07-27,145
2018-07-28,144
2018-07-29,144
2018-07-30,141
2018-07-31,140
2018-08-01,139
2018-08-02,138
2018-08-03,139
2018-08-04,139
2018-08-05,140
2018-08-06,139
2018-08-07,138
2018-08-08,137
2018-08-09,136
2018-08-10,136
2018-08-11,137
2018-08-12,136
2018-08-13,135
2018-08-14,134
2018-08-15,133
2018-08-16,132
2018-08-17,132
2018-08-18,131
2018-08-19,128
2018-08-20,126
2018-08-21,122
2018-08-22,121
2018-08-23,121
2018-08-24,120
2018-08-25,120
2018-08-26,119
2018-08-27,118
2018-08-28,118
2018-08-29,117
2018-08-30,117
2018-08-31,117
2018-09-01,118
2018-09-02,119
2018-09-03,119
2018-09-04,124
2018-09-05,126
2018-09-06,128
2018-09-07,128
2018-09-08,127
2018-09-09,132
2018-09-10,138
2018-09-11,143
2018-09-12,149
2018-09-13,151
2018-09-14,153
2018-09-15,156
2018-09-16,158
2018-09-17,160
2018-09-18,163
2018-09-19,163
2018-09-20,165
2018-09-21,163
2018-09-22,162
2018-09-23,160
2018-09-24,161
2018-09-25,163
2018-09-26,164
2018-09-27,166
2018-09-28,167
2018-09-29,168
2018-09-30,168
2018-10-01,168
2018-10-02,169
2018-10-03,170
2018-10-04,172
2018-10-05,173
2018-10-06,174
2018-10-07,174
2018-10-08,176
2018-10-09,176
2018-10-10,178
2018-10-11,178
2018-10-12,179
2018-10-13,180
2018-10-14,182
2018-10-15,184
2018-10-16,187
2018-10-17,189
2018-10-18,190
2018-10-19,191
2018-10-20,193
2018-10-21,194
2018-10-22,195
2018-10-23,198
2018-10-24,200
2018-10-25,203
2018-10-26,206
2018-10-27,206
2018-10-28,207
2018-10-29,209
2018-10-30,211
2018-10-31,212
2018-11-01,213
2018-11-02,213
2018-11-03,214
2018-11-04,214
2018-11-05,214
2018-11-06,214
2018-11-07,214
2018-11-08,214
2018-11-09,216
2018-11-10,217
2018-11-11,219
2018-11-12,219
2018-11-13,219
2018-11-14,219
2018-11-15,220
2018-11-16,220
2018-11-17,221
2018-11-18,221
2018-11-19,219
2018-11-20,217
2018-11-21,215
2018-11-22,217
2018-11-23,220
2018-11-24,219
2018-11-25,219
2018-11-26,218
2018-11-27,218
2018-11-28,220
2018-11-29,222
2018-11-30,222
2018-12-01,223
2018-12-02,223
2018-12-03,223
2018-12-04,223
2018-12-05,225
2018-12-06,228
2018-12-07,234
2018-12-08,232
2018-12-09,234
2018-12-10,236
2018-12-11,238
2018-12-12,241
2018-12-13,245
2018-12-14,245
2018-12-15,243
2018-12-16,242
2018-12-17,242
2018-12-18,242
2018-12-19,242
2018-12-20,242
2018-12-21,241
2018-12-22,241
2018-12-23,240
2018-12-24,239
2018-12-25,240
2018-12-26,240
2018-12-27,239
2018-12-28,239
2018-12-29,238
2018-12-30,239
2018-12-31,239
2019-01-01,237
2019-01-02,249
2019-01-03,252
2019-01-04,254
2019-01-05,256
2019-01-06,256
2019-01-07,258
2019-01-08,258
2019-01-09,257
2019-01-10,257
2019-01-11,258
2019-01-12,258
2019-01-13,256
2019-01-14,255
2019-01-15,257
2019-01-16,257
2019-01-17,258
2019-01-18,258
2019-01-19,257
2019-01-20,256
2019-01-21,256
2019-01-22,255
2019-01-23,254
2019-01-24,254
2019-01-25,254
2019-01-26,254
2019-01-27,254
2019-01-28,254
2019-01-29,252
2019-01-30,253
2019-01-31,254
2019-02-01,254
2019-02-02,254
2019-02-03,254
2019-02-04,254
2019-02-05,254
2019-02-06,254
2019-02-07,255
2019-02-08,251
2019-02-09,251
2019-02-10,252
2019-02-11,251
2019-02-12,251
2019-02-13,250
2019-02-14,251
2019-02-15,250
2019-02-16,248
2019-02-17,247
2019-02-18,245
2019-02-19,245
2019-02-20,244
2019-02-21,244
2019-02-22,243
2019-02-23,242
2019-02-24,241
2019-02-25,240
2019-02-26,240
2019-02-27,239
2019-02-28,237
2019-03-01,236
2019-03-02,236
2019-03-03,235
2019-03-04,233
2019-03-05,231
2019-03-06,232
2019-03-07,232
2019-03-08,232
2019-03-09,232
2019-03-10,230
2019-03-11,229
2019-03-12,229
2019-03-13,233
2019-03-14,238
2019-03-15,242
2019-03-16,243
2019-03-17,244
2019-03-18,245
2019-03-19,246
2019-03-20,246
2019-03-21,246
2019-03-22,245
2019-03-23,245
2019-03-24,244
2019-03-25,244
2019-03-26,243
2019-03-27,243
2019-03-28,243
2019-03-29,242
2019-03-30,241
2019-03-31,240
2019-04-01,240
2019-04-02,239
2019-04-03,238
2019-04-04,238
2019-04-05,238
2019-04-06,241
2019-04-07,245
2019-04-08,248
2019-04-09,246
2019-04-10,244
2019-04-11,243
2019-04-12,241
2019-04-13,240
2019-04-14,240
2019-04-15,240
2019-04-16,240
2019-04-17,242
2019-04-18,241
2019-04-19,239
2019-04-20,238
2019-04-21,236
2019-04-22,235
2019-04-23,234
2019-04-24,234
2019-04-25,233
2019-04-26,233
2019-04-27,232
2019-04-28,232
2019-04-29,230
2019-04-30,229
2019-05-01,229
2019-05-02,228
2019-05-03,236
2019-05-04,245
2019-05-05,254
2019-05-06,263
2019-05-07,268
2019-05-08,273
2019-05-09,278
2019-05-10,279
2019-05-11,281
2019-05-12,280
2019-05-13,279
2019-05-14,278
2019-05-15,277
2019-05-16,278
2019-05-17,279
2019-05-18,280
2019-05-19,282
2019-05-20,279
2019-05-21,276
2019-05-22,274
2019-05-23,271
2019-05-24,276
2019-05-25,280
2019-05-26,278
2019-05-27,280
2019-05-28,277
2019-05-29,279
2019-05-30,280
2019-05-31,280
2019-06-01,280
2019-06-02,279
2019-06-03,279
2019-06-04,277
2019-06-05,276
2019-06-06,275
2019-06-07,274
2019-06-08,272
2019-06-09,271
2019-06-10,267
2019-06-11,263
2019-06-12,265
2019-06-13,266
2019-06-14,266
2019-06-15,265
2019-06-16,264
2019-06-17,266
2019-06-18,268
2019-06-19,270
2019-06-20,266
2019-06-21,265
2019-06-22,259
2019-06-23,253
2019-06-24,248
2019-06-25,242
2019-06-26,239
2019-06-27,238
2019-06-28,238
2019-06-29,237
2019-06-30,235
2019-07-01,236
2019-07-02,237
2019-07-03,238
2019-07-04,239
2019-07-05,240
2019-07-06,238
2019-07-07,237
2019-07-08,234
2019-07-09,233
2019-07-10,232
2019-07-11,231
2019-07-12,233
2019-07-13,230
2019-07-14,227
2019-07-15,224
2019-07-16,224
2019-07-17,223
2019-07-18,222
2019-07-19,222
2019-07-20,223
2019-07-21,223
2019-07-22,220
2019-07-23,221
2019-07-24,222
2019-07-25,222
2019-07-26,223
2019-07-27,222
2019-07-28,222
2019-07-29,221
2019-07-30,220
2019-07-31,220
2019-08-01,220
2019-08-02,220
2019-08-03,221
2019-08-04,221
2019-08-05,220
2019-08-06,220
2019-08-07,222
2019-08-08,222
2019-08-09,223
2019-08-10,223
2019-08-11,222
2019-08-12,222
2019-08-13,222
2019-08-14,221
2019-08-15,220
2019-08-16,219
2019-08-17,217
2019-08-18,215
2019-08-19,213
2019-08-20,212
2019-08-21,210
2019-08-22,209
2019-08-23,206
2019-08-24,204
2019-08-25,203
2019-08-26,201
2019-08-27,199
2019-08-28,198
2019-08-29,198
2019-08-30,198
2019-08-31,199
2019-09-01,198
2019-09-02,196
2019-09-03,195
2019-09-04,195
2019-09-05,194
2019-09-06,194
2019-09-07,194
2019-09-08,194
2019-09-09,194
2019-09-10,194
2019-09-11,193
2019-09-12,192
2019-09-13,192
2019-09-14,193
2019-09-15,193
2019-09-16,192
2019-09-17,192
2019-09-18,191
2019-09-19,191
2019-09-20,193
2019-09-21,194
2019-09-22,194
2019-09-23,194
2019-09-24,193
2019-09-25,193
2019-09-26,193
2019-09-27,193
2019-09-28,192
2019-09-29,192
2019-09-30,189
2019-10-01,188
2019-10-02,186
2019-10-03,185
2019-10-04,185
2019-10-05,184
2019-10-06,182
2019-10-07,180
2019-10-08,178
2019-10-09,176
2019-10-10,175
2019-10-11,176
2019-10-12,176
2019-10-13,176
2019-10-14,176
2019-10-15,176
2019-10-16,176
2019-10-17,175
2019-10-18,174
2019-10-19,173
2019-10-20,172
2019-10-21,172
2019-10-22,173
2019-10-23,175
2019-10-24,178
2019-10-25,181
2019-10-26,184
2019-10-27,182
2019-10-28,181
2019-10-29,180
