Date,Discharge
2018-01-01,300
2018-01-02,299
2018-01-03,299
2018-01-04,298
2018-01-05,298
2018-01-06,297
2018-01-07,297
2018-01-08,296
2018-01-09,296
2018-01-10,297
2018-01-11,298
2018-01-12,299
2018-01-13,300
2018-01-14,300
2018-01-15,302
2018-01-16,302
2018-01-17,302
2018-01-18,303
2018-01-19,308
2018-01-20,309
2018-01-21,311
2018-01-22,312
2018-01-23,312
2018-01-24,311
2018-01-25,312
2018-01-26,311
2018-01-27,311
2018-01-28,310
2018-01-29,307
2018-01-30,305
2018-01-31,304
2018-02-01,303
2018-02-02,302
2018-02-03,300
2018-02-04,299
2018-02-05,297
2018-02-06,296
2018-02-07,296
2018-02-08,296
2018-02-09,296
2018-02-10,295
2018-02-11,295
2018-02-12,293
2018-02-13,292
2018-02-14,292
2018-02-15,292
2018-02-16,292
2018-02-17,292
2018-02-18,292
2018-02-19,292
2018-02-20,292
2018-02-21,292
2018-02-22,291
2018-02-23,295
2018-02-24,299
2018-02-25,295
2018-02-26,297
2018-02-27,297
2018-02-28,297
2018-03-01,297
2018-03-02,296
2018-03-03,297
2018-03-04,298
2018-03-05,298
2018-03-06,297
2018-03-07,297
2018-03-08,296
2018-03-09,297
2018-03-10,298
2018-03-11,298
2018-03-12,297
2018-03-13,295
2018-03-14,292
2018-03-15,290
2018-03-16,290
2018-03-17,289
2018-03-18,288
2018-03-19,287
2018-03-20,284
2018-03-21,283
2018-03-22,280
2018-03-23,279
2018-03-24,278
2018-03-25,278
2018-03-26,278
2018-03-27,279
2018-03-28,287
2018-03-29,291
2018-03-30,296
2018-03-31,301
2018-04-01,305
2018-04-02,316
2018-04-03,314
2018-04-04,312
2018-04-05,311
2018-04-06,310
2018-04-07,309
2018-04-08,308
2018-04-09,307
2018-04-10,306
2018-04-11,303
2018-04-12,301
2018-04-13,300
2018-04-14,298
2018-04-15,295
2018-04-16,292
2018-04-17,288
2018-04-18,286
2018-04-19,286
2018-04-20,285
2018-04-21,284
2018-04-22,283
2018-04-23,281
2018-04-24,280
2018-04-25,279
2018-04-26,278
2018-04-27,277
2018-04-28,277
2018-04-29,276
2018-04-30,276
2018-05-01,273
2018-05-02,274
2018-05-03,274
2018-05-04,276
2018-05-05,278
2018-05-06,280
2018-05-07,278
2018-05-08,277
2018-05-09,275
2018-05-10,273
2018-05-11,271
2018-05-12,271
2018-05-13,272
2018-05-14,272
2018-05-15,267
2018-05-16,267
2018-05-17,267
2018-05-18,266
2018-05-19,266
2018-05-20,266
2018-05-21,267
2018-05-22,267
2018-05-23,266
2018-05-24,266
2018-05-25,266
2018-05-26,266
2018-05-27,265
2018-05-28,265
2018-05-29,262
2018-05-30,259
2018-05-31,255
2018-06-01,252
2018-06-02,247
2018-06-03,243
2018-06-04,238
2018-06-05,234
2018-06-06,229
2018-06-07,225
2018-06-08,223
2018-06-09,222
2018-06-10,218
2018-06-11,213
2018-06-12,209
2018-06-13,205
2018-06-14,202
2018-06-15,204
2018-06-16,206
2018-06-17,206
2018-06-18,207
2018-06-19,208
2018-06-20,209
2018-06-21,210
2018-06-22,209
2018-06-23,207
2018-06-24,204
2018-06-25,202
2018-06-26,199
2018-06-27,197
2018-06-28,194
2018-06-29,193
2018-06-30,194
2018-07-01,193
2018-07-02,191
2018-07-03,190
2018-07-04,194
